1: ([37.790467, -122.203332], [37.650581, -122.111155])
2: ([37.725145, -122.339269], [37.597315, -122.052900])
3: ([37.689180, -122.355122], [37.752657, -122.238364])
4: ([37.496183, -122.104548], [37.492812, -122.235629])
5: ([37.432682, -122.095250], [37.512865, -122.284334])
6: ([37.698372, -122.326834], [37.738673, -122.065714])
7: ([37.636043, -122.133502], [37.754425, -122.351117])
8: ([37.527781, -122.224238], [37.792632, -122.346879])
9: ([37.698587, -122.185575], [37.791519, -122.254652])
10: ([37.491509, -122.175159], [37.542803, -122.246144])
11: ([37.785564, -122.168403], [37.632258, -122.321686])
12: ([37.774143, -122.159547], [37.479634, -122.086354])
13: ([37.478796, -122.202779], [37.813742, -122.322743])
14: ([37.723799, -122.148153], [37.756274, -122.080870])
15: ([37.600025, -122.381197], [37.490461, -122.093806])
